33892,spanish,salt
33892,spanish,potatoes
33892,spanish,large eggs
33892,spanish,onions
33892,spanish,extra-virgin olive oil
13426,mexican,ground pepper
13426,mexican,vegetable oil
13426,mexican,purple onion
13426,mexican,pork tenderloin
13426,mexican,large garlic cloves
13426,mexican,dill pickles
13426,mexican,baked ham
13426,mexican,spicy brown mustard
13426,mexican,flour tortillas
13426,mexican,coarse salt
13426,mexican,provolone cheese
40604,cajun_creole,coffee granules
40604,cajun_creole,vanilla extract
40604,cajun_creole,pecan halves
40604,cajun_creole,light corn syrup
40604,cajun_creole,butter
40604,cajun_creole,firmly packed light brown sugar
40604,cajun_creole,whipping cream
45729,southern_us,powdered sugar
45729,southern_us,vanilla extract
45729,southern_us,almond extract
45729,southern_us,all-purpose flour
45729,southern_us,baking powder
45729,southern_us,salt
45729,southern_us,butter
40918,greek,avocado
40918,greek,cooked chicken
40918,greek,greek style plain yogurt
40918,greek,lime
40918,greek,purple onion
40918,greek,granulated garlic
40918,greek,onion powder
40918,greek,ground pepper
40918,greek,salt
2469,chinese,dark soy sauce
2469,chinese,spring onions
2469,chinese,light soy sauce
2469,chinese,cooking wine
2469,chinese,pork belly
2469,chinese,vegetable oil
2469,chinese,chinese rock sugar
2469,chinese,fresh ginger
2898,chinese,oysters
2898,chinese,dried shrimp
2898,chinese,scallops
2898,chinese,pork ribs
2898,chinese,winter melon
2898,chinese,honey
2898,chinese,peppercorns
2898,chinese,water
2898,chinese,salt
42378,mexican,shredded cheddar cheese
42378,mexican,corn tortillas
42378,mexican,prepared guacamole
42378,mexican,chicken
42378,mexican,green onions
42378,mexican,chopped cilantro
42378,mexican,tomatoes
42378,mexican,red enchilada sauce
44289,french,fresh thyme
44289,french,cheese
44289,french,butter
44289,french,fillets
44289,french,crushed tomatoes
44289,french,whipping cream
44289,french,mushrooms
44289,french,cognac
40862,thai,boneless chicken thighs
40862,thai,lower sodium soy sauce
40862,thai,lime wedges
40862,thai,canola oil
40862,thai,chicken stock
40862,thai,water
40862,thai,peeled fresh ginger
40862,thai,thai chile
40862,thai,baby bok choy
40862,thai,yellow squash
40862,thai,cilantro stems
40862,thai,garlic cloves
40862,thai,kosher salt
40862,thai,ground black pepper
40862,thai,rice vermicelli
37418,italian,grated parmesan cheese
37418,italian,shredded mozzarella cheese
37418,italian,minced garlic
37418,italian,sea salt
37418,italian,fresh basil leaves
37418,italian,fontina cheese
37418,italian,roma tomatoes
37418,italian,feta cheese crumbles
37418,italian,olive oil
37418,italian,baked pizza crust
35595,italian,cucumber
35595,italian,roma tomatoes
35595,italian,italian salad dressing
35595,italian,purple onion
8481,korean,hot red pepper flakes
8481,korean,pork belly
8481,korean,sesame oil
8481,korean,red chili peppers
8481,korean,minced garlic
8481,korean,scallions
8481,korean,sugar
8481,korean,black pepper
8481,korean,ginger
8481,korean,soy sauce
8481,korean,rice wine
8481,korean,onions
11002,mexican,shredded cheddar cheese
11002,mexican,flour
11002,mexican,shredded lettuce
11002,mexican,cayenne pepper
11002,mexican,avocado
11002,mexican,garlic powder
11002,mexican,boneless skinless chicken breasts
11002,mexican,cilantro
11002,mexican,crumbled gorgonzola
11002,mexican,olive oil
11002,mexican,green onions
11002,mexican,buffalo sauce
11002,mexican,corn starch
11002,mexican,pepper
11002,mexican,tortillas
11002,mexican,ranch dressing
11002,mexican,salt
3750,mexican,green chile
3750,mexican,salt
3750,mexican,onions
3750,mexican,onion powder
3750,mexican,chicken in water
3750,mexican,monterey jack
3750,mexican,chicken broth
3750,mexican,"dri oregano leaves, crush"
3750,mexican,enchilada sauce
3750,mexican,cream
3750,mexican,uncooked vermicelli
3750,mexican,cumin
6852,mexican,kosher salt
6852,mexican,Anaheim chile
6852,mexican,cheese
6852,mexican,corn tortillas
6852,mexican,cremini mushrooms
6852,mexican,olive oil
6852,mexican,epazote
6852,mexican,salsa
6852,mexican,white onion
6852,mexican,ground black pepper
6852,mexican,cilantro sprigs
6852,mexican,poblano chiles
6852,mexican,corn kernels
6852,mexican,queso fresco
6852,mexican,garlic
8993,mexican,enchilada sauce
8993,mexican,garlic
8993,mexican,ground beef
8993,mexican,jack cheese
8993,mexican,sour cream
8993,mexican,tortilla chips
8993,mexican,onions
19906,thai,mint leaves
19906,thai,chopped cilantro
19906,thai,fish sauce
19906,thai,stevia
19906,thai,green cabbage
19906,thai,crushed red pepper flakes
19906,thai,sliced green onions
19906,thai,lime juice
19906,thai,salted peanuts
23139,brazilian,semisweet chocolate
23139,brazilian,chocolate sprinkles
23139,brazilian,light corn syrup
23139,brazilian,heavy cream
23139,brazilian,unsweetened cocoa powder
23139,brazilian,unsalted butter
23139,brazilian,sweetened condensed milk
44385,thai,fish sauce
44385,thai,lime juice
44385,thai,peanut butter
44385,thai,minced garlic
44385,thai,light coconut milk
44385,thai,brown sugar
44385,thai,peanuts
44385,thai,scallions
44385,thai,water
44385,thai,red curry paste
15446,southern_us,baking powder
15446,southern_us,milk
15446,southern_us,salt
15446,southern_us,sugar
15446,southern_us,vegetable shortening
15446,southern_us,flour
17144,mexican,fresh tomatoes
17144,mexican,olive oil
17144,mexican,chicken breasts
17144,mexican,paprika
17144,mexican,salsa
17144,mexican,shredded cheese
17144,mexican,onions
17144,mexican,chicken broth
17144,mexican,pepper
17144,mexican,flour tortillas
17144,mexican,butter
17144,mexican,garlic
17144,mexican,yellow onion
17144,mexican,sour cream
17144,mexican,cumin
17144,mexican,avocado
17144,mexican,white onion
17144,mexican,Sriracha
17144,mexican,chili powder
17144,mexican,cilantro
17144,mexican,hot sauce
17144,mexican,pinto beans
17144,mexican,coriander
17144,mexican,tomatoes
17144,mexican,lime juice
17144,mexican,jalapeno chilies
17144,mexican,red pepper
17144,mexican,salt
17144,mexican,green pepper
17144,mexican,chopped cilantro
10360,southern_us,granulated sugar
10360,southern_us,salt
10360,southern_us,bittersweet chocolate
10360,southern_us,pie crust
10360,southern_us,heavy cream
10360,southern_us,chopped pecans
10360,southern_us,large eggs
10360,southern_us,all-purpose flour
10360,southern_us,unsalted butter
10360,southern_us,light corn syrup
10360,southern_us,confectioners sugar
39484,mexican,picante sauce
39484,mexican,olive oil
39484,mexican,fresh cilantro
39484,mexican,sour cream
39484,mexican,lime juice
39484,mexican,salt
39484,mexican,avocado
39484,mexican,salad greens
39484,mexican,monterey jack
49545,chinese,sugar
49545,chinese,spring onions
49545,chinese,chinese five-spice powder
49545,chinese,hoisin sauce
49545,chinese,sesame oil
49545,chinese,soy sauce
49545,chinese,rice wine
49545,chinese,cucumber
49545,chinese,chinese pancakes
49545,chinese,mushrooms
49545,chinese,baby gem lettuce
47200,korean,black pepper
47200,korean,green onions
47200,korean,sugar
47200,korean,honey
47200,korean,garlic
47200,korean,soy sauce
47200,korean,beef
47200,korean,salt
47200,korean,wine
47200,korean,steamed rice
47200,korean,sesame oil
25160,indian,tumeric
25160,indian,zucchini
25160,indian,ground coriander
25160,indian,frozen peas
25160,indian,fresh ginger
25160,indian,butternut squash
25160,indian,small red potato
25160,indian,sugar
25160,indian,jalapeno chilies
25160,indian,garlic cloves
25160,indian,ground cumin
25160,indian,low-fat plain yogurt
25160,indian,cayenne
25160,indian,purple onion
25160,indian,chopped cilantro
11828,italian,tropical fruits
11828,italian,sugar
11828,italian,whipping cream
11828,italian,unflavored gelatin
11828,italian,buttermilk
11828,italian,water
11828,italian,vanilla extract
47830,italian,eggplant
47830,italian,chopped onion
47830,italian,peperoncini
47830,italian,diced tomatoes
47830,italian,fresh basil leaves
47830,italian,crumbled ricotta salata cheese
47830,italian,garlic cloves
47830,italian,kosher salt
47830,italian,extra-virgin olive oil
47830,italian,spaghetti
24100,french,salt
24100,french,unsalted butter
24100,french,ice water
24100,french,sugar
24100,french,all-purpose flour
48899,greek,ground cinnamon
48899,greek,large egg whites
48899,greek,grated parmesan cheese
48899,greek,olive oil spray
48899,greek,tomatoes
48899,greek,minced garlic
48899,greek,zucchini
48899,greek,chopped onion
48899,greek,tomato paste
48899,greek,bread crumbs
48899,greek,eggplant
48899,greek,beef sirloin
48899,greek,red potato
48899,greek,olive oil
48899,greek,low-fat white sauce
48899,greek,dried oregano
1211,mexican,Mexican seasoning mix
1211,mexican,diced tomatoes
1211,mexican,green pepper
1211,mexican,minced garlic
1211,mexican,reduced-fat sour cream
1211,mexican,chopped onion
1211,mexican,ground round
1211,mexican,chili
1211,mexican,salt
1211,mexican,vegetable oil cooking spray
1211,mexican,no-salt-added black beans
1211,mexican,salsa
221,southern_us,pepper
221,southern_us,frozen chopped broccoli
221,southern_us,melted butter
221,southern_us,flour
221,southern_us,sour cream
221,southern_us,cream of chicken soup
221,southern_us,stuffing mix
221,southern_us,shredded cheddar cheese
221,southern_us,salt
24238,mexican,diced onions
24238,mexican,chili powder
24238,mexican,enchilada sauce
24238,mexican,shredded cheddar cheese
24238,mexican,garlic
24238,mexican,masa harina
24238,mexican,water
24238,mexican,salt
24238,mexican,ground cumin
24238,mexican,chicken broth
24238,mexican,vegetable oil
24238,mexican,boneless skinless chicken breast halves
31000,british,sugar
31000,british,dates
31000,british,baking powder
31000,british,dark muscovado sugar
31000,british,self rising flour
31000,british,heavy cream
31000,british,eggs
31000,british,butter
31000,british,whiskey
38982,french,tomatoes
38982,french,flour
38982,french,salt
38982,french,dried oregano
38982,french,white vinegar
38982,french,garlic powder
38982,french,paprika
38982,french,sweetened condensed milk
38982,french,black pepper
38982,french,lean ground beef
38982,french,onions
38982,french,pita bread
38982,french,onion powder
38982,french,cayenne pepper
36378,greek,eggs
36378,greek,cake flour
36378,greek,white sugar
36378,greek,baking soda
36378,greek,grated lemon zest
36378,greek,plain yogurt
36378,greek,salt
36378,greek,butter
36378,greek,lemon juice
27799,italian,water
27799,italian,ground beef
27799,italian,ricotta cheese
27799,italian,lasagna noodles
27799,italian,ragu old world style pasta sauc
27799,italian,shredded mozzarella cheese
19539,thai,fresh ginger
19539,thai,toasted sesame oil
19539,thai,water
19539,thai,hoisin sauce
19539,thai,minced garlic
19539,thai,Jif Creamy Peanut Butter
19539,thai,light soy sauce
19539,thai,dark brown sugar
23544,mexican,mora chiles
23544,mexican,white onion
23544,mexican,crema mexican
23544,mexican,button mushrooms
23544,mexican,canela
23544,mexican,tomatoes
23544,mexican,sugar
