id,cuisine
18009,southern_us
id,cuisine
28583,southern_us
id,cuisine
41580,italian
id,cuisine
29752,cajun_creole
id,cuisine
35687,italian
id,cuisine
38527,southern_us
id,cuisine
19666,italian
id,cuisine
41217,chinese
id,cuisine
28753,mexican
id,cuisine
22659,british
id,cuisine
21749,italian
id,cuisine
44967,italian
id,cuisine
42969,indian
id,cuisine
44883,italian
id,cuisine
20827,chinese
id,cuisine
23196,mexican
id,cuisine
35387,southern_us
id,cuisine
33780,southern_us
id,cuisine
19001,mexican
id,cuisine
16526,southern_us
id,cuisine
42455,japanese
id,cuisine
47453,indian
id,cuisine
42478,italian
id,cuisine
11885,vietnamese
id,cuisine
16585,italian
id,cuisine
29639,southern_us
id,cuisine
26245,mexican
id,cuisine
38516,chinese
id,cuisine
47520,italian
id,cuisine
26212,cajun_creole
id,cuisine
23696,mexican
id,cuisine
14926,thai
id,cuisine
13292,mexican
id,cuisine
27346,japanese
id,cuisine
1384,chinese
id,cuisine
15959,mexican
id,cuisine
42297,mexican
id,cuisine
46235,indian
id,cuisine
21181,indian
id,cuisine
9809,cajun_creole
id,cuisine
22982,cajun_creole
id,cuisine
23120,chinese
id,cuisine
26743,italian
id,cuisine
12741,mexican
id,cuisine
7050,italian
id,cuisine
22437,italian
id,cuisine
14760,italian
id,cuisine
10649,indian
id,cuisine
48065,vietnamese
id,cuisine
39931,chinese
id,cuisine
32935,italian
id,cuisine
40142,thai
id,cuisine
19103,indian
id,cuisine
38267,italian
id,cuisine
30512,italian
id,cuisine
3324,chinese
id,cuisine
26197,italian
id,cuisine
384,japanese
id,cuisine
47230,chinese
id,cuisine
39748,jamaican
id,cuisine
41038,chinese
id,cuisine
24878,mexican
id,cuisine
42624,filipino
id,cuisine
45706,indian
id,cuisine
8874,mexican
id,cuisine
23878,italian
id,cuisine
47234,mexican
id,cuisine
24075,thai
id,cuisine
46323,italian
id,cuisine
22562,italian
id,cuisine
11358,french
id,cuisine
9201,indian
id,cuisine
38620,italian
id,cuisine
47638,southern_us
id,cuisine
21238,indian
id,cuisine
11053,japanese
id,cuisine
46602,indian
id,cuisine
13937,mexican
id,cuisine
21876,southern_us
id,cuisine
20798,greek
id,cuisine
24381,chinese
id,cuisine
48178,italian
id,cuisine
45832,italian
id,cuisine
27560,korean
id,cuisine
23247,british
id,cuisine
28975,southern_us
id,cuisine
43230,greek
id,cuisine
9126,italian
id,cuisine
13021,cajun_creole
id,cuisine
28194,chinese
id,cuisine
25617,indian
id,cuisine
36125,italian
id,cuisine
16454,mexican
id,cuisine
1607,chinese
id,cuisine
38526,mexican
id,cuisine
18755,southern_us
id,cuisine
12035,italian
id,cuisine
16047,italian
id,cuisine
15419,italian
id,cuisine
16971,indian
id,cuisine
31459,southern_us
id,cuisine
27888,southern_us
id,cuisine
13900,italian
id,cuisine
12376,indian
id,cuisine
1658,chinese
id,cuisine
29431,mexican
id,cuisine
22290,mexican
id,cuisine
28464,italian
id,cuisine
37953,chinese
id,cuisine
20814,chinese
id,cuisine
35987,mexican
id,cuisine
2329,italian
id,cuisine
43237,mexican
id,cuisine
30647,southern_us
id,cuisine
16675,italian
id,cuisine
37722,mexican
id,cuisine
32438,chinese
id,cuisine
20287,thai
id,cuisine
43296,indian
id,cuisine
6237,italian
id,cuisine
48560,japanese
id,cuisine
20810,mexican
id,cuisine
34951,italian
id,cuisine
31850,japanese
id,cuisine
47745,southern_us
id,cuisine
37815,mexican
id,cuisine
9872,italian
id,cuisine
5592,italian
id,cuisine
27411,mexican
id,cuisine
39320,mexican
id,cuisine
40247,southern_us
id,cuisine
19792,mexican
id,cuisine
40754,italian
id,cuisine
14365,mexican
id,cuisine
14468,mexican
id,cuisine
47563,mexican
id,cuisine
19611,italian
id,cuisine
7163,mexican
id,cuisine
43069,mexican
id,cuisine
27505,chinese
id,cuisine
36500,thai
id,cuisine
25932,southern_us
id,cuisine
817,italian
id,cuisine
8471,southern_us
id,cuisine
48250,southern_us
id,cuisine
