22018,italian,vanilla beans
22018,italian,heavy whipping cream
22018,italian,bittersweet chocolate chips
22018,italian,whole milk
22018,italian,sugar
22018,italian,large egg yolks
22018,italian,kosher salt
22018,italian,vegetable oil
7945,french,semisweet chocolate
7945,french,salt
7945,french,pure vanilla extract
7945,french,whipped cream
7945,french,and fat free half half
7945,french,egg whites
7945,french,chocolate curls
7945,french,sugar
7945,french,reduced-fat sour cream
34721,chinese,chicken breasts
34721,chinese,cornflour
34721,chinese,oil
34721,chinese,brown sugar
34721,chinese,pineapple
34721,chinese,salt
34721,chinese,coriander
34721,chinese,tomato purée
34721,chinese,red pepper
34721,chinese,garlic
34721,chinese,onions
34721,chinese,soy sauce
34721,chinese,ginger
34721,chinese,rice
19024,greek,sugar
19024,greek,unsalted butter
19024,greek,fresh lemon juice
19024,greek,ground cinnamon
19024,greek,water
19024,greek,orange flower water
19024,greek,pitted date
19024,greek,almond extract
19024,greek,phyllo pastry
19024,greek,grated orange peel
19024,greek,honey
19024,greek,orange juice
32622,korean,brown sugar
32622,korean,green onions
32622,korean,ground beef
32622,korean,fresh ginger
32622,korean,crushed red pepper flakes
32622,korean,soy sauce
32622,korean,sesame oil
32622,korean,cooked rice
32622,korean,sesame seeds
32622,korean,garlic
44305,vietnamese,caster sugar
44305,vietnamese,cracked black pepper
44305,vietnamese,garlic cloves
44305,vietnamese,cabbage
44305,vietnamese,sugar
44305,vietnamese,peanuts
44305,vietnamese,cilantro leaves
44305,vietnamese,fresh mint
44305,vietnamese,lime juice
44305,vietnamese,vietnamese fish sauce
44305,vietnamese,carrots
44305,vietnamese,red chili peppers
44305,vietnamese,boneless skinless chicken breasts
44305,vietnamese,rice vinegar
44305,vietnamese,onions
38123,russian,milk
38123,russian,baking yeast
38123,russian,eggs
38123,russian,hard-boiled egg
38123,russian,plain flour
38123,russian,unsalted butter
38123,russian,cabbage
38123,russian,caster sugar
38123,russian,salt
49121,japanese,ajwain
49121,japanese,baking powder
49121,japanese,ground cumin
49121,japanese,red chili powder
49121,japanese,water
49121,japanese,salt
49121,japanese,black pepper
49121,japanese,garlic
49121,japanese,moong dal
49121,japanese,flour
49121,japanese,oil
39676,italian,porterhouse steaks
39676,italian,olive oil
39676,italian,salt
41222,british,meringue
41222,british,strawberries
41222,british,double cream
41222,british,blueberries
19219,greek,tomatoes
19219,greek,butter
19219,greek,chopped fresh mint
19219,greek,plain dry bread crumb
19219,greek,fresh parsley
19219,greek,ground lamb
19219,greek,ground cinnamon
19219,greek,dry red wine
19219,greek,long grain white rice
19219,greek,grated parmesan cheese
19219,greek,onions
47360,british,eggs
47360,british,baking powder
47360,british,vanilla extract
47360,british,ground cinnamon
47360,british,pitted date
47360,british,heavy cream
47360,british,brown sugar
47360,british,butter
47360,british,salt
47360,british,brandy
47360,british,spiced rum
47360,british,all-purpose flour
36252,french,large egg yolks
36252,french,unsalted butter
36252,french,ground black pepper
36252,french,kosher salt
36252,french,fresh lemon juice
14190,indian,yellow onion
14190,indian,ground black pepper
14190,indian,long grain white rice
14190,indian,olive oil
14190,indian,brown lentils
